Mouser Part No,Qty,Manufacturer Part No,Description,Designators,Note
667-EEU-FM1E221,2,EEU-FM1E221,"220 uF / 25 V aluminium electrolytic, low impedance","C1, C2",Panasonic FM. Input smoothing.
647-UBW1E101MPD,6,UBW1E101MPD,"100 uF / 25 V aluminium electrolytic, standard ESR","C7, C8, C28, C29, C30, C31",Nichicon BW. Deliberately NOT low-ESR - the ESR damps the output LC filter.
80-C0805C473K1R,1,C0805C473K1RACTU,"47 nF / 100 V X7R, 0805",C38,"Optional, not fitted. Common-mode path."
576-0218002.MXP,1,0218002.MXP,"2 A slow-blow fuse, 5 x 20 mm",F1,Littelfuse 218 series.
576-00BS0232P,1,00BS0232P,Fuse holder cover,F1 (cover),Littelfuse. Fits the 0PTF0078P.
576-0PTF0078P,1,0PTF0078P,"Fuse holder, 5 x 20 mm, open, horizontal",F1 (holder),"Littelfuse PTF series, PCB mount."
571-6404452,1,640445-2,"MTA-156 header, 2 pin",J1,"TE / AMP. 12 V input, plus left, ground right."
652-RLB0913-100K,1,RLB0913-100K,10 uH / 3.1 A radial inductor,L1,Bourns. Input pi filter with C1 and C2.
604-WP710A10LID,7,WP710A10LID,"Red LED, T-1 (3 mm), low current, diffused","LED1, LED2, LED3, LED4, LED5, LED6, LED7","Kingbright, 2 mA. One power-good indicator per rail."
660-MOS1CT528R390J,1,MOS1CT528R390J,"39 ohm / 1 W metal oxide, axial",R8,KOA. Pre-drop ahead of the +5 VA regulator.
71-WK202070C6809F220,1,WK202070C6809F2200,"68 ohm / 1 W metal oxide, axial, 1 %, 50 ppm/K",R11,Vishay WK2. Pre-drop ahead of the -5 V regulator.
71-CRCW0805-1-E3,1,CRCW08051R00FKEA,"1 ohm, 0805",R34,"Optional, not fitted. Damping for C38."
495-THN30-2423WIR,1,THN 30-2423WIR,"DC/DC converter, 30 W, isolated, +/-15 V out",U1,Traco THN 30-2423WIR. The one part carried over from the original board.
919-R-78E5.0-1.0,1,R-78E5.0-1.0,"Switching regulator, 5 V / 1 A, SIP-3",U9,"Recom. Digital rail, straight off the raw 12 V."
919-R-78E3.3-1.0,1,R-78E3.3-1.0,"Switching regulator, 3.3 V / 1 A, SIP-3",U10,"Recom. Digital rail, straight off the raw 12 V."
